TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
505807,20240802,640.00,640.00,610.00,610.00,100
505827,20240802,360.25,367.00,360.25,363.65,2408
505840,20240802,38.86,38.86,37.00,37.70,3047
505850,20240802,125.10,126.50,123.10,124.05,36378
505854,20240802,534.00,559.95,519.05,540.65,2474
505872,20240802,499.00,521.00,480.00,516.30,123927
505890,20240802,3384.75,3487.85,3365.00,3395.35,4492
505893,20240802,625.00,625.00,605.05,619.85,762
505978,20240802,3500.00,3799.95,3406.60,3757.50,5601
506003,20240802,50.12,50.13,47.80,49.07,11540
506022,20240802,189.00,192.50,185.25,190.45,106824
506074,20240802,4.55,4.70,4.55,4.58,106990
506076,20240802,2580.00,2580.00,2518.85,2530.15,1621
506105,20240802,85.60,87.90,83.40,87.90,21
506109,20240802,686.60,724.50,683.70,720.20,26008
506122,20240802,272.00,272.00,272.00,272.00,1
506128,20240802,102.75,102.75,102.75,102.75,3411
506134,20240802,33.80,35.95,33.50,34.29,77530
506146,20240802,1.03,1.04,1.03,1.04,459569
506184,20240802,3.06,3.12,3.00,3.06,254099
506186,20240802,41.98,41.98,41.98,41.98,7935
506194,20240802,328.00,328.00,314.05,319.45,9603
506197,20240802,115.95,118.65,114.65,116.85,27607
506222,20240802,2605.00,2668.00,2536.60,2623.35,2741
506235,20240802,136.50,148.50,136.50,146.75,183819
506248,20240802,315.85,331.95,315.85,324.95,2196
506260,20240802,234.00,240.00,234.00,236.40,36876
506261,20240802,158.75,159.85,155.45,159.25,11767
506285,20240802,6800.00,6965.00,6794.95,6851.50,596
506365,20240802,70.06,70.06,66.56,67.02,85
506390,20240802,480.00,488.75,479.00,482.75,2241
506395,20240802,1649.95,1649.95,1610.90,1637.70,6696
506401,20240802,3079.80,3129.00,3039.60,3095.35,9070
506405,20240802,295.25,296.90,286.00,289.10,5156
506414,20240802,250.00,260.00,249.00,256.15,13986
506480,20240802,433.95,442.95,430.00,433.75,7137
506520,20240802,9.14,9.48,9.03,9.29,67413
506525,20240802,127.50,129.90,126.10,127.45,2305
506528,20240802,3820.00,3940.00,3761.10,3928.60,1062
506530,20240802,1058.00,1058.00,1010.10,1058.00,20
506532,20240802,869.00,869.00,824.00,836.05,12831
506543,20240802,16.41,16.41,16.41,16.41,173
506579,20240802,312.00,313.05,303.00,306.55,13721
506590,20240802,344.00,380.00,340.50,376.95,1229465
506597,20240802,353.25,359.90,343.05,353.95,1124
506605,20240802,2850.00,2900.00,2810.00,2881.85,167
506618,20240802,1309.85,1309.85,1270.00,1291.00,2539
506640,20240802,397.95,397.95,397.95,397.95,370
506642,20240802,80.25,83.97,80.25,81.47,72546
506655,20240802,982.15,982.35,961.40,975.20,21259
506685,20240802,518.00,530.00,515.00,524.65,32924
506687,20240802,1720.00,1758.90,1710.10,1729.50,1978
506690,20240802,535.00,583.70,535.00,580.55,2745
506734,20240802,185.00,194.85,181.00,194.00,7472
506767,20240802,2100.00,2149.80,2081.85,2138.10,12036
506808,20240802,84.53,85.87,84.50,84.87,9214
506820,20240802,7199.95,7199.95,6925.10,7040.20,971
506852,20240802,38.05,43.25,38.05,41.51,13795658
506854,20240802,2065.10,2244.95,2065.10,2197.15,15840
506858,20240802,65.59,66.80,64.30,64.40,2601
