MARUTI-III,20240802,13125.25,13222.45,12901.0,12925.85,168
MCX-I,20240802,4289.4,4392.0,4244.3,4341.35,5671
MCX-II,20240802,4303.1,4406.05,4270.0,4360.2,328
MCX-III,20240802,4415.15,4423.05,4300.0,4399.9,25
METROPOLIS-I,20240802,2079.95,2119.0,2064.2,2091.75,767
METROPOLIS-II,20240802,2090.0,2118.0,2071.9,2098.1,74
METROPOLIS-III,20240802,2090.05,2090.05,2090.0,2090.0,7
MFSL-I,20240802,1097.7,1115.35,1088.0,1107.7,1066
MFSL-II,20240802,1100.35,1118.0,1095.6,1113.4,25
MFSL-III,20240802,1108.0,1108.0,1108.0,1108.0,1
MGL-I,20240802,1797.05,1848.65,1795.6,1835.85,1726
MGL-II,20240802,1806.35,1854.3,1804.5,1841.95,138
MGL-III,20240802,1848.95,1853.75,1848.95,1853.75,4
MIDCPNIFTY-I,20240802,12860.0,12860.0,12594.45,12627.8,21693
MIDCPNIFTY-II,20240802,12780.0,12810.4,12610.0,12642.45,1292
MIDCPNIFTY-III,20240802,12750.0,12816.3,12636.75,12659.6,70
MOTHERSON-I,20240802,195.37,197.45,192.21,193.54,4588
MOTHERSON-II,20240802,194.03,198.5,193.37,194.75,272
MOTHERSON-III,20240802,195.6,198.33,195.1,195.79,20
MPHASIS-I,20240802,2853.45,2859.95,2785.55,2790.3,5551
MPHASIS-II,20240802,2849.6,2872.4,2801.05,2805.0,253
MPHASIS-III,20240802,2857.0,2866.45,2816.95,2818.65,11
MRF-I,20240802,141028.3,141412.95,138500.15,138930.8,2809
MRF-II,20240802,141124.7,142000.0,139500.0,139773.6,141
MRF-III,20240802,141573.1,142778.0,140100.0,140100.0,16
MUTHOOTFIN-I,20240802,1874.35,1904.6,1851.15,1885.8,2683
MUTHOOTFIN-II,20240802,1868.05,1911.0,1862.35,1894.35,108
MUTHOOTFIN-III,20240802,1898.0,1915.0,1895.0,1904.0,7
NATIONALUM-I,20240802,189.4,190.25,184.5,185.39,7746
NATIONALUM-II,20240802,190.33,190.4,185.16,186.03,385
NATIONALUM-III,20240802,190.0,190.5,186.82,187.21,23
NAUKRI-I,20240802,6900.0,7360.0,6874.75,7250.15,11076
NAUKRI-II,20240802,6940.05,7395.0,6940.05,7288.9,749
NAUKRI-III,20240802,7093.25,7399.95,7093.25,7326.35,45
NAVINFLUOR-I,20240802,3677.9,3721.4,3604.3,3621.6,3712
NAVINFLUOR-II,20240802,3698.1,3727.2,3612.45,3633.4,507
NAVINFLUOR-III,20240802,3722.0,3728.65,3610.6,3647.15,20
NESTLEIND-I,20240802,2476.55,2522.0,2475.05,2502.95,10069
NESTLEIND-II,20240802,2513.0,2537.4,2494.75,2520.05,523
